playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
greenpu01,1960,1,BOS,AL,133,260,36,63,10,3,3,21,3,4,44,47,2,1,1,4,8
groatdi01,1960,1,PIT,NL,138,573,85,186,26,4,2,50,0,2,39,35,0,4,12,1,7
hamlike01,1960,1,KC1,AL,140,428,51,96,10,2,2,24,1,1,44,48,1,1,8,2,13
hansero02,1960,1,BAL,AL,153,530,72,135,22,5,22,86,3,3,69,94,5,2,1,2,18
heldwo01,1960,1,CLE,AL,109,376,45,97,15,1,21,67,0,1,44,73,5,5,3,2,5
herrepa01,1960,1,PHI,NL,145,512,61,144,26,6,17,71,2,3,51,136,6,5,0,7,17
herzowh01,1960,1,KC1,AL,83,252,43,67,10,2,8,38,0,1,40,32,2,0,1,2,6
hoakdo01,1960,1,PIT,NL,155,553,97,156,24,9,16,79,3,2,74,74,9,1,4,4,17
howarel01,1960,1,NYA,AL,107,323,29,79,11,3,6,39,3,0,28,43,7,0,2,8,8
howarfr01,1960,1,LAN,NL,117,448,54,120,15,2,23,77,0,1,32,108,1,3,2,2,8
javieju01,1960,1,SLN,NL,119,451,55,107,19,8,4,21,19,4,21,72,1,1,15,0,7
kalinal01,1960,1,DET,AL,147,551,77,153,29,4,15,68,19,4,65,47,3,3,5,5,18
kaskoed01,1960,1,CIN,NL,126,479,56,140,21,1,6,51,9,9,46,37,0,6,2,4,9
killeha01,1960,1,WS1,AL,124,442,84,122,19,1,31,80,1,0,71,106,3,1,0,3,10
kindaje01,1960,1,CHN,NL,89,246,17,59,16,2,2,23,4,3,5,52,3,0,3,2,7
kirklwi01,1960,1,SFN,NL,146,515,59,130,21,10,21,65,12,7,44,86,8,4,2,2,4
kubekto01,1960,1,NYA,AL,147,568,77,155,25,3,14,62,3,0,31,42,5,3,12,4,13
kuennha01,1960,1,CLE,AL,126,474,65,146,24,0,9,54,3,0,55,25,6,1,4,3,10
landiji01,1960,1,CHA,AL,148,494,89,125,25,6,10,49,23,6,80,84,4,9,7,4,7
larkeno01,1960,1,LAN,NL,133,440,56,142,26,3,5,78,1,0,36,24,2,1,7,9,9
lemonji01,1960,1,WS1,AL,148,528,81,142,10,1,38,100,2,0,67,114,8,7,0,9,9
loganjo01,1960,1,ML1,NL,136,482,52,118,14,4,7,42,1,1,43,40,6,2,9,1,10
lollash01,1960,1,CHA,AL,129,421,43,106,23,0,7,46,2,0,42,39,3,8,5,8,22
lopezhe01,1960,1,NYA,AL,131,408,66,116,14,6,9,42,1,1,46,64,0,4,9,2,7
lumpeje01,1960,1,KC1,AL,146,574,69,156,19,3,8,53,1,1,48,49,1,0,4,4,14
malzofr01,1960,1,BOS,AL,152,595,60,161,30,2,14,79,2,3,36,42,4,4,4,8,20
mantlmi01,1960,1,NYA,AL,153,527,119,145,17,6,40,94,14,3,111,125,6,1,0,5,11
marisro01,1960,1,NYA,AL,136,499,98,141,18,7,39,112,2,2,70,65,4,3,1,5,6
martibi02,1960,1,CIN,NL,103,317,34,78,17,1,3,16,0,1,27,34,5,0,2,1,11
